acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
38859,ALAN SMITH,Q18683957,KEITH ALLAN,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE PERFECT SLEEP,27
38859,ALAN SMITH,Q5593252,GRAHAM SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,1 DAY,8
38859,ALAN SMITH,Q282341,JASON SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE RUM DIARY,39
38859,ALAN SMITH,Q21074782,MAM SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,3 MUSKETEERS,18
38859,ALAN SMITH,Q319183,JAN SMIT,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,HET BOMBARDEMENT,34
38859,ALAN SMITH,Q6274452,JONATHAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,SUMMER IN FEBRUARY,23
38859,ALAN SMITH,Q33262554,ALGEE SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,JUDAS AND THE BLACK MESSIAH,37
38859,ALAN SMITH,Q7488279,SHANE SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,FISHING WITHOUT NETS,32
38859,ALAN SMITH,Q19325121,ANTONY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,VIKING: THE BERSERKERS,31
38859,ALAN SMITH,Q19662199,LYNDON SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE SECRET IN THEIR EYES,36
38859,ALAN SMITH,Q16255210,ADAM SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,TRESPASS AGAINST US,26
38859,ALAN SMITH,Q61887701,ANN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,EMMA OG JULEMANDEN - JAGTEN PA ELVERDRONNINGENS HJERTE,23
38859,ALAN SMITH,Q26868926,ALLAN R. SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,MARINE RAIDER MEMORIAL MARCH,28
38859,ALAN SMITH,Q24705646,JASON SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,CROSS COUNTRY,18
38859,ALAN SMITH,Q19739483,FAUZAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,KALAM-KALAM LANGIT,13
38859,ALAN SMITH,Q21591417,MATTHEW ALAN,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,TRUST FUND,11
38859,ALAN SMITH,Q65978883,ALEXIS SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,ANT-MAN AND THE WASP,35
38859,ALAN SMITH,Q99195254,DUNCAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,MAMMA MIA! HERE WE GO AGAIN,23
38859,ALAN SMITH,Q62859194,DYLAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,LUNA DE MIERE,39
38859,ALAN SMITH,Q78458023,SHAYNE SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,SHAYNE SMITH: PRISON FOR WIZARDS,22
38859,ALAN SMITH,Q7422783,SARAH SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,RON'S GONE WRONG,24
