acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77127,RICHARD CAMPBELL,Q3430649,RICHARD A. COLLA,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SAGA OF A STAR WORLD,31
77127,RICHARD CAMPBELL,Q75414223,RICHARD AUBREY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,A TOWN CALLED BASTARD,31
77127,RICHARD CAMPBELL,Q3311683,MICHELE RICHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE HIDEOUT,18
77127,RICHARD CAMPBELL,Q282033,MARTIN CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE LEGEND OF ZORRO,35
77127,RICHARD CAMPBELL,Q542167,RICHARD CHEW,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,REVENGE OF THE NERDS II: NERDS IN PARADISE,38
77127,RICHARD CAMPBELL,Q65130802,CLAUDE RICHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,FRANCE INC.,15
77127,RICHARD CAMPBELL,Q542816,RICHARD BELZER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE BONFIRE OF THE VANITIES,39
77127,RICHARD CAMPBELL,Q529509,RICHARD CHASE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,ARIZONA SLIM,18
77127,RICHARD CAMPBELL,Q3875964,NICHOLAS CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE CRY OF THE OWL,39
77127,RICHARD CAMPBELL,Q20653582,RICHARD ASHE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TRACK OF THE MOON BEAST,33
77127,RICHARD CAMPBELL,Q2386524,RICHARD PAUL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE PEOPLE VS. LARRY FLYNT,38
77127,RICHARD CAMPBELL,Q2975113,CLAIRE RICHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,LA CARAPATE,15
77127,RICHARD CAMPBELL,Q546035,RICHARD MANUEL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE LAST WALTZ,34
77127,RICHARD CAMPBELL,Q104290558,RICHARD BEAUCHAMP,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SUNNYSIDE,11
77127,RICHARD CAMPBELL,Q446627,RICHARD HELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,"ONCE UPON A TIME IN NEW YORK: THE BIRTH OF HIP HOP, DISCO AND PUNK",35
77127,RICHARD CAMPBELL,Q3667244,CHERYL CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,"GREYSTOKE: THE LEGEND OF TARZAN, LORD OF THE APES",48
77127,RICHARD CAMPBELL,Q981647,RICHARD MOLL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SCOOBY-DOO! MUSIC OF THE VAMPIRE,48
77127,RICHARD CAMPBELL,Q10361148,RICARDO GRACA MELLO,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,GAROTA DOURADA,31
77127,RICHARD CAMPBELL,Q314945,MICHAEL RICHARDS,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE HOUSE OF GOD,37
77127,RICHARD CAMPBELL,Q1747204,DAVID CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,ALL THE RIGHT MOVES,35
77127,RICHARD CAMPBELL,Q22022522,MARCUS CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,"MERRY CHRISTMAS, MR. LAWRENCE",14
77127,RICHARD CAMPBELL,Q22022597,RICHARD MILLS,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,"MERRY CHRISTMAS, MR. LAWRENCE",14
77127,RICHARD CAMPBELL,Q1296712,RICHARD MICHAELS,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BLUE SKIES AGAIN,20
77127,RICHARD CAMPBELL,Q6829079,MICHAEL CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE UNION: THE BUSINESS BEHIND GETTING HIGH,37
77127,RICHARD CAMPBELL,Q460633,RICHARD CHAVES,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,DEAR AMERICA: LETTERS HOME FROM VIETNAM,20
77127,RICHARD CAMPBELL,Q264960,TISHA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE SEAT FILLER,34
77127,RICHARD CAMPBELL,Q7325831,RICHARD G. MITCHELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,CALL OF THE TOAD,40
77127,RICHARD CAMPBELL,Q16151810,RICHARD KRAMER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,ALL I WANT FOR CHRISTMAS,32
77127,RICHARD CAMPBELL,Q7324644,RICHARD CARTER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,HATING ALISON ASHLEY,28
77127,RICHARD CAMPBELL,Q7326530,RICHARD HOPE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,MR. MORGAN'S LAST LOVE,31
77127,RICHARD CAMPBELL,Q63413348,DAVID CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,HELL ON THE BATTLEGROUND,29
77127,RICHARD CAMPBELL,Q7327162,RICHARD L. ALBERT,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE FORBIDDEN DANCE,22
77127,RICHARD CAMPBELL,Q7327700,RICHARD MAXWELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE SERPENT AND THE RAINBOW,28
77127,RICHARD CAMPBELL,Q2980682,CLEMENT RICHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE MILLS OF POWER,39
77127,RICHARD CAMPBELL,Q1663072,RICHARD POE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BORN ON THE FOURTH OF JULY,34
77127,RICHARD CAMPBELL,Q328567,RICHARD ELLIOT,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TEEN WITCH,19
77127,RICHARD CAMPBELL,Q541535,JULIA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,OPPORTUNITY KNOCKS,23
77127,RICHARD CAMPBELL,Q106600010,WIL CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE SPIRIT WITHIN,30
